,gene
1348,B3gnt5
1349,B3gntl1
1350,B430212C06Rik
1351,B4galnt2
1352,B4galnt3
1353,B4galt1
1354,B4galt4
1355,B4galt5
1356,B4galt6
1357,B4galt7
1358,B530045E10Rik
1359,B630019A10Rik
1360,B9d1
1361,B9d2
1362,BC003965
1363,BC004004
1364,BC005537
1365,BC005624
1366,BC024063
1367,BC024978
1368,BC025920
1369,BC029722
1370,BC031181
1371,BC039966
1372,BC048403
1373,BC049352
1374,BC052040
1375,BC053393
1376,BC055324
1377,BC061212
1378,BC085271
1379,Babam1
1380,Babam2
1381,Bace1
1382,Bach1
1383,Bach2
1384,Bad
1385,Bag1
1386,Bag2
1387,Bag3
1388,Bag4
1389,Bag5
1390,Bag6
1391,Bahcc1
1392,Bahd1
1393,Baiap2
1394,Baiap2l1
1395,Baiap2l2
1396,Bak1
1397,Banf1
1398,Banp
1399,Bard1
1400,Barx2
1401,Basp1
1402,Batf
1403,Batf2
1404,Batf3
1405,Bax
1406,Baz1a
1407,Baz1b
1408,Baz2a
1409,Baz2b
1410,Bbc3
1411,Bbip1
1412,Bbof1
1413,Bbs1
1414,Bbs4
1415,Bbs5
1416,Bbs7
1417,Bbs9
1418,Bbx
1419,Bc1
1420,Bcam
1421,Bcan
1422,Bcap29
1423,Bcap31
1424,Bcar1
1425,Bcar3
1426,Bcas2
1427,Bcas3
1428,Bcat1
1429,Bcat2
1430,Bccip
1431,Bcdin3d
1432,Bche
1433,Bckdha
1434,Bckdhb
1435,Bckdk
1436,Bcl10
1437,Bcl2
1438,Bcl2l1
1439,Bcl2l11
1440,Bcl2l13
1441,Bcl2l15
1442,Bcl3
1443,Bcl7a
1444,Bcl7b
1445,Bcl7c
1446,Bcl9
1447,Bcl9l
1448,Bclaf1
1449,Bclaf3
1450,Bco1
1451,Bcor
1452,Bcorl1
1453,Bcr
1454,Bcs1l
1455,Bdh2
1456,Bdnf
1457,Bdp1
1458,Becn1
1459,Bend3
1460,Bend6
1461,Bend7
1462,Best2
1463,Best3
1464,Bet1
1465,Bet1l
1466,Bex2
1467,Bex3
1468,Bfar
1469,Bgn
1470,Bhlhb9
1471,Bhlhe40
1472,Bhmt
1473,Bicc1
1474,Bicd1
1475,Bicd2
1476,Bicdl1
1477,Bicra
1478,Bicral
1479,Bid
1480,Bin1
1481,Bin3
1482,Birc2
1483,Birc3
1484,Birc5
1485,Birc6
1486,Bivm
1487,Blcap
1488,Blk
1489,Blm
1490,Blmh
1491,Blnk
1492,Bloc1s1
1493,Bloc1s2
1494,Bloc1s4
1495,Bloc1s5
1496,Bloc1s6
1497,Blvra
1498,Blvrb
1499,Blzf1
1500,Bmerb1
1501,Bmi1
1502,Bmp1
1503,Bmp2k
1504,Bmp4
1505,Bmp6
1506,Bmper
1507,Bmpr1a
1508,Bmpr1b
1509,Bmpr2
1510,Bms1
1511,Bmt2
1512,Bmx
1513,Bmyc
1514,Bnc2
1515,Bnip1
1516,Bnip2
1517,Bnip3
1518,Bnip3l
1519,Bnip3l-ps
1520,Bnip5
1521,Boc
1522,Bod1
1523,Bod1-ps
1524,Bod1l
1525,Bok
1526,Bola1
1527,Bola2
1528,Bola3
1529,Boll
1530,Bop1
1531,Bora
1532,Borcs5
1533,Borcs7
